# EX_3 part 1 
Expected, Actual, Match (1=Yes)
--------------------------------------------------------------------
          7,		          7,		 1
          7,		          7,		 1
         12,		         12,		 1
          7,		          7,		 1
         14,		         14,		 1
          9,		          9,		 1
         18,		         18,		 1
          9,		          9,		 1
         13,		         13,		 1
          9,		          9,		 1
          7,		          7,		 1
          7,		          7,		 1
          1,		          1,		 1
          8,		          8,		 1
          9,		          9,		 1
          7,		          7,		 1
          7,		          7,		 1
         10,		         10,		 1
         12,		         12,		 1
          6,		          6,		 1
         10,		         10,		 1
          9,		          9,		 1
          9,		          9,		 1
         10,		         10,		 1
         13,		         13,		 1
         14,		         14,		 1
         11,		         11,		 1
          7,		          7,		 1
         11,		         11,		 1
          9,		          9,		 1
         10,		         10,		 1
         10,		         10,		 1
         11,		         11,		 1
         11,		         11,		 1
         10,		         10,		 1
         10,		         10,		 1
          8,		          8,		 1
          7,		          7,		 1
         10,		         10,		 1
         10,		         10,		 1
          9,		          9,		 1
         11,		         11,		 1
         10,		         10,		 1
         11,		         11,		 1
         11,		         11,		 1
         12,		         12,		 1
         10,		         10,		 1
          5,		          5,		 1
         10,		         10,		 1
         10,		         10,		 1
         10,		         10,		 1
         10,		         10,		 1
          7,		          7,		 1
         14,		         14,		 1
          8,		          8,		 1
          9,		          9,		 1
         12,		         12,		 1
         10,		         10,		 1
          9,		          9,		 1
          9,		          9,		 1
          7,		          7,		 1
         15,		         15,		 1
         12,		         12,		 1
         12,		         12,		 1
          9,		          9,		 1
          7,		          7,		 1
         15,		         15,		 1
         14,		         14,		 1
         12,		         12,		 1
          8,		          8,		 1
         11,		         11,		 1
          9,		          9,		 1
         11,		         11,		 1
         10,		         10,		 1
         13,		         13,		 1
         11,		         11,		 1
         10,		         10,		 1
         12,		         12,		 1
          9,		          9,		 1
         13,		         13,		 1
         11,		         11,		 1
         11,		         11,		 1
          8,		          8,		 1
          7,		          7,		 1
          9,		          9,		 1
          9,		          9,		 1
